team,name,position,age,games,games_started,minutes_played,field_goals,field_goal_attempts,field_goal_percentage,three_pointers,three_point_attempts,three_point_percentage,two_pointers,two_point_attempts,two_point_percentage,effective_field_goal_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls,points,college,salary
Boston Celtics,Sam Hauser,SF,25,80,8,16.1,2.3,5,0.455,1.8,4.2,0.418,0.5,0.8,0.656,0.631,0.2,0.2,0.706,0.4,2.1,2.6,0.9,0.4,0.3,0.4,1.2,6.4,Virginia,1637966
Boston Celtics,Blake Griffin,C,33,41,16,13.9,1.5,3.2,0.485,0.6,1.6,0.348,1,1.6,0.625,0.573,0.5,0.8,0.656,1.1,2.6,3.8,1.5,0.3,0.2,0.5,1.8,4.1,Oklahoma,1836090
Boston Celtics,Payton Pritchard,PG,25,48,3,13.4,2.1,5.1,0.412,1.2,3.2,0.364,0.9,1.9,0.495,0.527,0.3,0.3,0.75,0.5,1.3,1.8,1.3,0.3,0,0.8,0.8,5.6,Oregon,2239200
Boston Celtics,Luke Kornet,C,27,69,0,11.7,1.6,2.5,0.665,0,0.2,0.231,1.6,2.3,0.701,0.674,0.5,0.6,0.821,1.2,1.6,2.9,0.8,0.2,0.7,0.4,1.2,3.8,Vanderbilt,2133278
Boston Celtics,Noah Vonleh,NA,27,23,1,7.4,0.5,1,0.458,0,0.2,0.25,0.4,0.9,0.5,0.479,0.1,0.1,1,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,1.1,No College/Unknown,1160955
Boston Celtics,JD Davison,NA,20,12,0,5.5,0.7,1.6,0.421,0.2,0.6,0.286,0.5,1,0.5,0.474,0.1,0.2,0.5,0.2,0.6,0.8,0.9,0.2,0.2,0.3,0.4,1.6,No College/Unknown,NA
Brooklyn Nets,Kyrie Irving,SG,30,40,40,37,10,20.5,0.486,3.3,8.7,0.374,6.7,11.8,0.569,0.565,4,4.5,0.883,1,4.2,5.1,5.3,1,0.8,2.3,2.7,27.1,Duke,38917057
Brooklyn Nets,Kevin Durant,PF,34,39,39,36,10.5,18.8,0.559,1.8,4.8,0.376,8.7,14,0.622,0.607,6.8,7.3,0.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7,Texas,44119845
Brooklyn Nets,Spencer Dinwiddie,PG,29,26,26,35.3,5.5,13.7,0.404,1.7,5.7,0.289,3.9,8,0.488,0.465,3.8,4.7,0.797,0.3,3.8,4.1,9.1,1.1,0.3,2.1,2.4,16.5,Colorado,19500000
Brooklyn Nets,Mikal Bridges,SG,26,27,27,34.2,8.9,18.6,0.475,2.5,6.7,0.376,6.3,11.9,0.531,0.543,5.9,6.6,0.894,0.9,3.6,4.5,2.7,1,0.6,1.8,1.6,26.1,Villanova,20100000
Brooklyn Nets,Royce O'Neale,SF,29,76,53,31.7,3,7.8,0.386,2.1,5.5,0.389,0.9,2.3,0.379,0.524,0.7,0.9,0.725,0.7,4.3,5.1,3.7,0.9,0.6,1.5,3.1,8.8,Baylor,9200000
Brooklyn Nets,Cameron Johnson,PF,26,25,25,30.8,5.6,12,0.468,2.3,6.2,0.372,3.3,5.8,0.572,0.565,3,3.5,0.851,0.8,4,4.8,2.1,1.4,0.3,1.1,2.2,16.6,UNC,5887899
Brooklyn Nets,Nic Claxton,C,23,76,76,29.9,5.4,7.7,0.705,0,0,0,5.4,7.7,0.708,0.705,1.8,3.2,0.541,2.4,6.8,9.2,1.9,0.9,2.5,1.3,2.8,12.6,Georgia,8500000
Brooklyn Nets,Dorian Finney-Smith,PF,29,26,26,27.7,2.6,7.3,0.351,1.4,4.7,0.306,1.2,2.7,0.429,0.448,0.6,0.7,0.789,1.8,3.1,4.9,1.6,0.7,0.6,1,2.5,7.2,Florida,12939848
Brooklyn Nets,Ben Simmons,PG,26,42,33,26.3,3.2,5.6,0.566,0,0,0,3.2,5.5,0.571,0.566,0.6,1.4,0.439,1,5.3,6.3,6.1,1.3,0.6,2.3,3.3,6.9,LSU,35448672
Brooklyn Nets,Joe Harris,SF,31,74,33,20.6,2.7,5.9,0.457,1.9,4.5,0.426,0.8,1.4,0.551,0.618,0.2,0.4,0.643,0.3,1.9,2.2,1.4,0.5,0.2,0.6,1.9,7.6,Virginia,18642857
Brooklyn Nets,Seth Curry,SG,32,61,7,19.9,3.4,7.4,0.463,1.5,3.8,0.405,1.9,3.6,0.525,0.568,0.8,0.9,0.927,0.2,1.4,1.6,1.6,0.6,0.1,0.8,1.6,9.2,Duke,8496653
Brooklyn Nets,T.J. Warren,SF,29,26,0,18.8,3.9,7.7,0.51,0.6,1.8,0.333,3.3,5.8,0.566,0.55,1,1.3,0.818,0.5,2.3,2.8,1.1,0.6,0.3,0.7,1.7,9.5,NC State,1836090
Brooklyn Nets,Cam Thomas,SG,21,57,4,16.6,3.5,8,0.441,0.9,2.3,0.383,2.6,5.7,0.464,0.497,2.6,3.1,0.868,0.1,1.5,1.7,1.4,0.4,0.1,1.1,1,10.6,LSU,2138160
Brooklyn Nets,Yuta Watanabe,SF,28,58,1,16,2,4,0.491,1,2.3,0.444,0.9,1.7,0.557,0.621,0.6,0.8,0.723,0.5,1.9,2.4,0.8,0.4,0.3,0.4,1.4,5.6,George Washington,1836090
Brooklyn Nets,Patty Mills,PG,34,40,2,14.2,2.2,5.2,0.411,1.2,3.4,0.366,0.9,1.9,0.493,0.529,0.6,0.8,0.833,0.2,0.9,1.1,1.4,0.4,0.1,0.8,0.8,6.2,Saint Mary's,6479000
Brooklyn Nets,Edmond Sumner,SG,27,53,12,13.9,2.3,5.1,0.461,0.6,1.6,0.356,1.8,3.4,0.511,0.519,1.9,2,0.917,0.2,1.2,1.5,1.3,0.6,0.2,0.9,1.6,7.1,Xavier,1968175
Brooklyn Nets,Day'Ron Sharpe,C,21,48,3,11.5,1.9,3.6,0.544,0.1,0.2,0.545,1.8,3.3,0.544,0.561,0.7,1.1,0.636,2.1,2.1,4.2,0.8,0.3,0.7,0.9,1.9,4.7,UNC,2109480
Brooklyn Nets,Markieff Morris,PF,33,27,1,10.6,1.2,3,0.402,0.7,1.8,0.408,0.5,1.2,0.394,0.524,0.4,0.4,1,0.5,1.7,2.2,0.9,0.3,0.2,0.5,1.2,3.6,Kansas,1836090
Brooklyn Nets,David Duke Jr.,SG,23,23,0,9.9,1.6,3.4,0.462,0,0.5,0.083,1.5,2.9,0.53,0.468,0.5,0.7,0.706,0.5,0.8,1.3,0.9,0.4,0,0.8,1.3,3.7,Providence,NA
Brooklyn Nets,Dru Smith,NA,25,10,0,9.1,1.3,3.1,0.419,0.4,1.3,0.308,0.9,1.8,0.5,0.484,0.3,0.3,1,0.1,1.4,1.5,1.7,0.6,0.1,0.2,1.3,3.3,No College/Unknown,NA
Brooklyn Nets,Kessler Edwards,SF,22,14,1,5.6,0.4,1.7,0.25,0.1,0.9,0.167,0.3,0.9,0.333,0.292,0.1,0.1,0.5,0.4,0.6,1,0.1,0.2,0.1,0.3,0.2,1.1,Pepperdine,1637966
Charlotte Hornets,Terry Rozier,SG,28,63,63,35.3,7.8,18.9,0.415,2.6,8,0.327,5.2,10.8,0.48,0.484,2.8,3.5,0.809,0.8,3.3,4.1,5.1,1.2,0.3,2.1,1.9,21.1,Louisville,21486316
Charlotte Hornets,LaMelo Ball,PG,21,36,36,35.2,8.2,20,0.411,4,10.6,0.376,4.2,9.4,0.45,0.51,2.8,3.4,0.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3,No College/Unknown,8623920
Charlotte Hornets,P.J. Washington,PF,24,73,73,32.6,5.9,13.4,0.444,2,5.9,0.348,3.9,7.5,0.518,0.52,1.7,2.4,0.73,1,3.9,4.9,2.4,0.9,1.1,1.5,2.6,15.7,Kentucky,5808435
Charlotte Hornets,Kelly Oubre Jr.,SF,27,48,40,32.3,7.4,17.1,0.431,2.3,7.1,0.319,5.1,10,0.51,0.497,3.3,4.3,0.76,1.4,3.8,5.2,1.1,1.4,0.4,1.3,2.9,20.3,Kansas,12600000
Charlotte Hornets,Gordon Hayward,SF,32,50,50,31.5,5.5,11.6,0.475,1,3.2,0.325,4.5,8.4,0.532,0.52,2.6,3.2,0.811,0.7,3.6,4.3,4.1,0.8,0.2,2,1.4,14.7,Butler,30075000
Charlotte Hornets,Mason Plumlee,C,32,56,56,28.5,4.7,7.1,0.669,0,0,NA,4.7,7.1,0.669,0.669,2.8,4.6,0.605,3.3,6.3,9.7,3.7,0.6,0.6,1.6,2.9,12.2,Duke,9080417
Charlotte Hornets,Jalen McDaniels,SF,25,56,21,26.7,3.9,8.8,0.447,1.2,3.6,0.322,2.8,5.2,0.534,0.513,1.6,1.9,0.846,0.8,4,4.8,2,1.2,0.5,1.4,2.8,10.6,San Diego State,1930681
Charlotte Hornets,Dennis Smith Jr.,PG,25,54,15,25.7,3.4,8.4,0.412,0.4,2.1,0.216,3,6.3,0.475,0.438,1.4,2,0.736,0.5,2.6,3.1,4.8,1.4,0.5,1.5,2.3,8.8,NC State,1836090
Charlotte Hornets,Svi Mykhailiuk,SF,25,19,8,22.5,3.7,8.5,0.441,1.9,4.7,0.404,1.8,3.8,0.486,0.553,1.2,1.8,0.676,0.8,1.6,2.4,2.7,0.7,0.2,1.2,1.2,10.6,Kansas,3714810
Charlotte Hornets,Théo Maledon,NA,21,44,7,19.4,2.3,5.8,0.402,0.6,2.2,0.295,1.7,3.6,0.465,0.457,1.4,1.7,0.851,0.3,2.5,2.8,3.5,0.8,0.3,1.3,1.4,6.7,No College/Unknown,1900000
Charlotte Hornets,Mark Williams,C,21,43,17,19.3,3.7,5.8,0.637,0,0,NA,3.7,5.8,0.637,0.637,1.6,2.3,0.691,2.2,4.9,7.1,0.4,0.7,1,0.9,2.2,9,Duke,3722040
Charlotte Hornets,Nick Richards,C,25,65,9,18.7,3,4.8,0.629,0,0,1,3,4.8,0.628,0.631,2.1,2.8,0.749,2.3,4.1,6.4,0.6,0.2,1.1,0.9,2.4,8.2,Kentucky,1782621
Charlotte Hornets,Bryce McGowens,SG,20,46,7,17.1,1.7,4.4,0.396,0.6,1.7,0.325,1.2,2.7,0.443,0.46,1.3,1.7,0.75,0.4,1.6,2,1.2,0.3,0.1,0.9,1,5.3,Nebraska,1075000
Charlotte Hornets,James Bouknight,SG,22,34,0,15.1,2,5.7,0.358,1,3.2,0.303,1.1,2.5,0.429,0.443,0.6,0.9,0.667,0.2,1.9,2.1,1.2,0.4,0.1,0.9,1.4,5.6,UConn,4362240
Charlotte Hornets,JT Thor,PF,20,69,8,14,1.4,3.4,0.399,0.6,1.8,0.317,0.8,1.7,0.487,0.481,0.5,0.7,0.702,0.5,1.7,2.2,0.5,0.3,0.3,0.6,1,3.8,Auburn,1563518
Charlotte Hornets,Kai Jones,C,22,46,0,12,1.5,2.6,0.558,0.1,0.4,0.211,1.4,2.2,0.624,0.575,0.4,0.6,0.731,0.8,1.9,2.7,0.3,0.4,0.7,0.7,1.4,3.4,Texas,2909040
Chicago Bulls,DeMar DeRozan,SF,33,74,74,36.2,8.9,17.6,0.504,0.6,1.9,0.324,8.3,15.7,0.526,0.522,6.2,7.1,0.872,0.5,4.2,4.6,5.1,1.1,0.5,2.1,2.5,24.5,USC,27300000
Chicago Bulls,Zach LaVine,SG,27,77,77,35.9,8.7,18,0.485,2.6,7.1,0.375,6.1,11,0.556,0.558,4.7,5.6,0.848,0.5,3.9,4.5,4.2,0.9,0.2,2.5,2.1,24.8,UCLA,37096500
Chicago Bulls,Nikola Vučević,C,32,82,82,33.5,7.3,14,0.52,1.5,4.2,0.349,5.8,9.8,0.594,0.573,1.6,1.9,0.835,1.9,9.1,11,3.2,0.7,0.7,1.7,2.2,17.6,USC,22000000
Chicago Bulls,Patrick Williams,PF,21,82,65,28.3,3.8,8.3,0.464,1.4,3.4,0.415,2.4,4.9,0.498,0.549,1.1,1.3,0.857,1,3,4,1.2,0.9,0.9,1.2,1.8,10.2,Florida State,7775400
Chicago Bulls,Patrick Beverley,PG,34,22,22,27.5,2.1,5.4,0.395,1.1,3.7,0.309,1,1.7,0.579,0.5,0.4,0.7,0.533,0.9,4,4.9,3.5,1,0.7,0.8,2.9,5.8,Arkansas,13506508
Chicago Bulls,Ayo Dosunmu,SG,23,80,51,26.2,3.5,7.1,0.493,0.7,2.4,0.312,2.8,4.8,0.583,0.545,0.8,1,0.805,0.6,2.2,2.8,2.6,0.8,0.3,1.2,2.3,8.6,Illinois,1563518
Chicago Bulls,Alex Caruso,PG,28,67,36,23.5,1.9,4.3,0.455,0.8,2.3,0.364,1.1,2,0.556,0.551,0.9,1.1,0.808,0.6,2.3,2.9,2.9,1.5,0.7,1.1,2.4,5.6,Texas A&M,9030000
Chicago Bulls,Coby White,SG,22,74,2,23.4,3.6,8,0.443,1.7,4.6,0.372,1.8,3.4,0.54,0.551,0.8,0.9,0.871,0.2,2.6,2.9,2.8,0.7,0.1,1,1.6,9.7,UNC,7413955
Chicago Bulls,Goran Dragić,PG,36,51,0,15.4,2.5,5.9,0.425,0.9,2.5,0.352,1.6,3.4,0.48,0.5,0.5,0.8,0.659,0.3,1.1,1.4,2.7,0.2,0.1,1.1,1.2,6.4,No College/Unknown,2226523
Chicago Bulls,Javonte Green,SF,29,32,1,15,1.9,3.4,0.565,0.4,1.1,0.371,1.5,2.3,0.658,0.625,0.9,1.4,0.667,0.8,1.9,2.8,0.7,0.8,0.7,0.6,1.6,5.2,Radford,1815677
Chicago Bulls,Derrick Jones Jr.,PF,25,64,0,14,1.8,3.6,0.5,0.4,1.3,0.338,1.4,2.3,0.587,0.559,1,1.3,0.738,0.9,1.5,2.4,0.5,0.5,0.6,0.4,1.3,5,UNLV,3200000
Chicago Bulls,Andre Drummond,C,29,67,0,12.7,2.5,4.1,0.606,0,0,0,2.5,4,0.613,0.606,1,1.9,0.536,2.1,4.6,6.6,0.5,0.7,0.4,1.1,1.7,6,UConn,3200000
Chicago Bulls,Dalen Terry,SG,20,38,0,5.6,0.8,1.9,0.444,0.2,0.7,0.259,0.7,1.2,0.556,0.493,0.4,0.6,0.667,0.3,0.7,1,0.6,0.3,0.1,0.2,0.6,2.2,Arizona,3191400
Cleveland Cavaliers,Donovan Mitchell,SG,26,68,68,35.8,10,20.6,0.484,3.6,9.3,0.386,6.4,11.3,0.566,0.572,4.7,5.4,0.867,0.9,3.3,4.3,4.4,1.5,0.4,2.6,2.5,28.3,Louisville,30913750
Cleveland Cavaliers,Darius Garland,PG,23,69,69,35.5,7.6,16.4,0.462,2.4,6,0.41,5.1,10.4,0.492,0.537,4,4.7,0.863,0.4,2.3,2.7,7.8,1.2,0.1,2.9,2.1,21.6,Vanderbilt,8920795
Cleveland Cavaliers,Evan Mobley,PF,21,79,79,34.4,6.6,12,0.554,0.3,1.3,0.216,6.4,10.7,0.595,0.566,2.6,3.8,0.674,2.4,6.6,9,2.8,0.8,1.5,1.8,2.8,16.2,USC,8478720
Cleveland Cavaliers,Jarrett Allen,C,24,68,68,32.6,5.9,9.2,0.644,0,0.1,0.1,5.9,9.1,0.653,0.645,2.4,3.3,0.733,3.3,6.5,9.8,1.7,0.8,1.2,1.4,2.3,14.3,Texas,20000000
Cleveland Cavaliers,Caris LeVert,SG,28,74,30,30.2,4.3,10,0.431,1.7,4.4,0.392,2.6,5.6,0.462,0.517,1.8,2.4,0.722,0.7,3.1,3.8,3.9,1,0.3,1.6,2.3,12.1,Michigan,18796296
Cleveland Cavaliers,Isaac Okoro,SF,22,76,46,21.7,2.3,4.7,0.494,0.8,2.3,0.363,1.5,2.4,0.617,0.582,1,1.4,0.757,0.7,1.8,2.5,1.1,0.7,0.4,0.6,2.1,6.4,Auburn,7040880
Cleveland Cavaliers,Dean Wade,PF,26,44,13,20.3,1.7,4,0.412,1,2.9,0.354,0.6,1.1,0.56,0.54,0.3,0.5,0.652,0.5,3,3.4,0.8,0.6,0.5,0.4,2,4.7,Kansas State,1930681
Cleveland Cavaliers,Cedi Osman,SF,27,77,2,20.1,3.1,6.9,0.451,1.5,4.1,0.372,1.6,2.8,0.564,0.56,1,1.4,0.694,0.3,2,2.3,1.5,0.5,0.1,0.7,1.6,8.7,No College/Unknown,7426088
Cleveland Cavaliers,Kevin Love,PF,34,41,3,20,2.7,7,0.389,1.7,4.8,0.354,1,2.2,0.467,0.511,1.4,1.5,0.889,1,5.8,6.8,1.9,0.2,0.2,1.1,1.6,8.5,UCLA,32056968
Cleveland Cavaliers,Lamar Stevens,SF,25,62,25,18.1,2.1,4.6,0.448,0.5,1.5,0.316,1.6,3.1,0.513,0.5,0.6,0.9,0.702,0.8,2.6,3.3,0.5,0.4,0.3,0.4,1.3,5.3,Penn State,1782621
Cleveland Cavaliers,Ricky Rubio,PG,32,33,2,17.2,1.8,5.4,0.343,0.6,2.5,0.256,1.2,2.9,0.417,0.402,0.8,1.1,0.8,0.3,1.8,2.1,3.5,0.8,0.2,0.9,1.5,5.2,No College/Unknown,5853659
Cleveland Cavaliers,Danny Green,SG,35,8,0,11.9,2.4,4.8,0.5,1.6,3.6,0.448,0.8,1.1,0.667,0.671,0.1,0.1,1,0.3,1,1.3,0.5,0.6,0.4,0.9,1.3,6.5,UNC,11710528
Cleveland Cavaliers,Raul Neto,PG,30,48,1,10.5,1.2,2.3,0.518,0.3,0.9,0.286,0.9,1.4,0.662,0.573,0.6,0.7,0.912,0.2,0.8,1,1.6,0.4,0.1,0.5,1,3.3,No College/Unknown,1836090
Cleveland Cavaliers,Robin Lopez,C,34,37,2,8.1,1.3,2,0.64,0.1,0.1,0.5,1.2,1.9,0.648,0.653,0.4,0.5,0.778,0.6,0.8,1.4,0.5,0.1,0.2,0.7,1.2,3,Stanford,1836090
Cleveland Cavaliers,Mamadi Diakite,NA,26,22,2,8,1.1,2.3,0.48,0.3,1,0.333,0.8,1.3,0.586,0.55,0.1,0.1,1,0.4,1,1.4,0.4,0.2,0.4,0.5,1.2,2.6,No College/Unknown,NA
Cleveland Cavaliers,Isaiah Mobley,NA,23,13,0,6.5,0.9,2.2,0.429,0.2,0.6,0.375,0.7,1.5,0.45,0.482,0.3,0.3,1,0.3,1.2,1.5,0.2,0.3,0.2,0.1,0.6,2.4,No College/Unknown,NA
Dallas Mavericks,Kyrie Irving,SG,30,20,20,38.2,9.8,19.2,0.51,2.9,7.4,0.392,6.9,11.8,0.585,0.586,4.5,4.7,0.947,1.1,4,5,6,1.3,0.6,1.9,2.8,27,Duke,38917057
Dallas Mavericks,Luka Dončić,PG,23,66,66,36.2,10.9,22,0.496,2.8,8.2,0.342,8.1,13.8,0.588,0.56,7.8,10.5,0.742,0.8,7.8,8.6,8,1.4,0.5,3.6,2.5,32.4,No College/Unknown,37096500
Dallas Mavericks,Spencer Dinwiddie,PG,29,53,53,34.1,6,13.1,0.455,2.6,6.4,0.405,3.4,6.7,0.504,0.555,3.2,3.9,0.821,0.4,2.7,3.1,5.3,0.7,0.3,1.7,2.3,17.7,Colorado,19500000
Dallas Mavericks,Dorian Finney-Smith,PF,29,40,40,32.2,3.2,7.8,0.416,1.9,5.4,0.355,1.3,2.3,0.559,0.54,0.8,1,0.75,1.7,3,4.7,1.5,1,0.5,0.9,2,9.1,Florida,12939848
Dallas Mavericks,Reggie Bullock,SF,31,78,55,30.3,2.5,6,0.409,1.9,5.1,0.38,0.5,0.9,0.562,0.569,0.3,0.5,0.703,0.4,3.2,3.6,1.4,0.7,0.2,0.5,2.1,7.2,UNC,10012800
Dallas Mavericks,Tim Hardaway Jr.,SF,30,71,45,30.3,4.8,11.9,0.401,3,7.7,0.385,1.8,4.2,0.431,0.527,1.8,2.3,0.77,0.3,3.2,3.5,1.8,0.7,0.2,0.8,1.7,14.4,Michigan,19602273
Dallas Mavericks,Christian Wood,C,27,67,17,25.9,5.9,11.5,0.515,1.6,4.2,0.376,4.3,7.3,0.594,0.583,3.2,4.2,0.772,1.3,6,7.3,1.8,0.4,1.1,1.8,2.5,16.6,UNLV,14317459
Dallas Mavericks,Josh Green,SG,22,60,21,25.7,3.4,6.4,0.537,1.1,2.8,0.402,2.3,3.6,0.643,0.626,1.1,1.6,0.723,0.9,2.1,3,1.7,0.7,0.1,1.2,2.6,9.1,Arizona,3098400
Dallas Mavericks,Maxi Kleber,PF,31,37,5,25.1,2.1,4.6,0.456,1.1,3,0.348,1,1.5,0.667,0.571,0.7,1,0.711,0.8,2.8,3.6,1.4,0.3,0.8,0.7,2.3,5.9,No College/Unknown,9000000
Dallas Mavericks,Dwight Powell,C,31,76,64,19.2,2.6,3.5,0.732,0,0.1,0,2.6,3.5,0.746,0.732,1.5,2.2,0.667,2,2.2,4.1,0.9,0.6,0.3,0.9,2.8,6.7,Stanford,11080125
Dallas Mavericks,Justin Holiday,SF,33,18,2,16.4,1.6,4.4,0.367,0.9,3.1,0.286,0.7,1.3,0.565,0.468,0.3,0.4,0.625,0.2,1.6,1.8,0.9,0.8,0.5,0.6,1.7,4.4,Washington,6862261
Dallas Mavericks,Kemba Walker,NA,32,9,1,16,2.7,6.3,0.421,0.8,3.1,0.25,1.9,3.2,0.586,0.482,1.9,2.3,0.81,0.3,1.4,1.8,2.1,0.2,0.2,0.4,1.2,8,No College/Unknown,37281261
Dallas Mavericks,Jaden Hardy,SG,20,48,5,14.8,3,6.9,0.438,1.3,3.3,0.404,1.7,3.7,0.469,0.533,1.4,1.6,0.823,0.2,1.6,1.9,1.4,0.4,0.1,1,1.3,8.8,No College/Unknown,1017781
Dallas Mavericks,Frank Ntilikina,SG,24,47,5,12.9,1,2.8,0.364,0.4,1.4,0.254,0.7,1.4,0.477,0.428,0.5,0.7,0.667,0.1,1.2,1.3,1.2,0.3,0.1,0.6,1.4,2.9,No College/Unknown,2036318
Dallas Mavericks,McKinley Wright IV,NA,24,27,1,12.4,1.7,3.6,0.469,0.3,1,0.321,1.4,2.6,0.529,0.515,0.5,0.7,0.684,0.3,1.4,1.7,2.1,0.3,0.2,0.7,0.9,4.2,No College/Unknown,NA
Dallas Mavericks,Dāvis Bertāns,PF,30,45,1,10.9,1.5,3.6,0.431,1.2,3.1,0.39,0.3,0.4,0.737,0.603,0.3,0.3,0.867,0.2,1,1.2,0.5,0.2,0.2,0.2,1.2,4.6,No College/Unknown,16000000
Dallas Mavericks,Markieff Morris,PF,33,8,1,8.8,1.8,4.1,0.424,1,2.8,0.364,0.8,1.4,0.545,0.545,0,0,NA,0,1.5,1.5,0.8,0.1,0,0.5,1.9,4.5,Kansas,1836090
Dallas Mavericks,JaVale McGee,C,35,42,7,8.5,1.9,3,0.64,0,0.1,0.4,1.9,2.9,0.65,0.648,0.6,1,0.585,0.7,1.8,2.5,0.3,0.1,0.6,0.9,1.3,4.4,Nevada,5461219
Dallas Mavericks,Theo Pinson,SG,27,40,1,8.1,0.8,2.2,0.356,0.6,1.6,0.355,0.2,0.6,0.36,0.483,0.3,0.3,0.846,0.3,1.3,1.6,1.2,0.2,0,0.3,0.9,2.4,UNC,1836090
Dallas Mavericks,A.J. Lawson,NA,22,14,0,7.6,1.5,3.1,0.488,0.7,1.8,0.4,0.8,1.3,0.611,0.605,0.1,0.6,0.25,0.4,1,1.4,0.1,0.1,0,0.2,0.7,3.9,No College/Unknown,NA
Dallas Mavericks,Facundo Campazzo,NA,31,8,0,6.5,0.4,1.6,0.231,0.4,1.4,0.273,0,0.3,0,0.346,0.1,0.3,0.5,0,0.3,0.3,1.1,0.8,0,0.4,0.4,1.3,No College/Unknown,NA
Denver Nuggets,Nikola Jokić,C,27,69,69,33.7,9.4,14.8,0.632,0.8,2.2,0.383,8.5,12.7,0.675,0.66,4.9,6,0.822,2.4,9.4,11.8,9.8,1.3,0.7,3.6,2.5,24.5,No College/Unknown,33047803
Denver Nuggets,Jamal Murray,PG,25,65,65,32.8,7.3,16,0.454,2.6,6.6,0.398,4.6,9.4,0.494,0.537,2.8,3.3,0.833,0.7,3.2,4,6.2,1,0.2,2.2,1.6,20,Kentucky,31650600
Denver Nuggets,Kentavious Caldwell-Pope,SG,29,76,76,31.3,3.8,8.3,0.462,1.8,4.2,0.423,2.1,4.1,0.502,0.569,1.4,1.6,0.824,0.5,2.3,2.7,2.4,1.5,0.5,1.1,1.9,10.8,Georgia,14004703
Denver Nuggets,Aaron Gordon,PF,27,68,68,30.2,6.3,11.2,0.564,0.9,2.5,0.347,5.4,8.6,0.628,0.603,2.8,4.6,0.608,2.4,4.1,6.6,3,0.8,0.8,1.4,1.9,16.3,Arizona,19690909
Denver Nuggets,Michael Porter Jr.,SF,24,62,62,29,6.4,13.2,0.487,3,7.3,0.414,3.4,5.9,0.579,0.602,1.5,1.9,0.8,1,4.5,5.5,1,0.6,0.5,1.1,1.9,17.4,Missouri,30913750
Denver Nuggets,Bruce Brown,SF,26,80,31,28.5,4.5,9.3,0.483,1.1,3.2,0.358,3.3,6.1,0.548,0.545,1.5,1.9,0.758,0.8,3.3,4.1,3.4,1.1,0.6,1.5,2.4,11.5,Miami (FL),6479000
Denver Nuggets,Reggie Jackson,PG,32,16,2,19.9,3.1,8,0.383,1.2,4.3,0.279,1.9,3.8,0.5,0.457,0.6,0.8,0.833,0.2,1.6,1.8,3.1,0.6,0.1,1.2,1.4,7.9,Boston College,11795633
Denver Nuggets,Jeff Green,PF,36,56,4,19.5,2.9,5.9,0.488,0.5,1.9,0.288,2.3,4,0.58,0.534,1.6,2.1,0.744,0.7,1.9,2.6,1.2,0.3,0.3,0.8,1.8,7.8,Georgetown,4500000
Denver Nuggets,Bones Hyland,PG,22,42,1,19.5,4.1,10.3,0.399,2.2,5.7,0.378,2,4.6,0.425,0.503,1.7,2,0.866,0.2,1.8,2,3,0.7,0.3,1.6,1.6,12.1,VCU,2201520
Denver Nuggets,Christian Braun,SG,21,76,6,15.5,1.9,3.8,0.495,0.4,1.3,0.354,1.4,2.5,0.565,0.554,0.5,0.8,0.625,0.6,1.8,2.4,0.8,0.5,0.2,0.5,1.3,4.7,Kansas,2808600
Denver Nuggets,DeAndre Jordan,C,34,39,8,15,2.3,2.9,0.765,0,0,1,2.2,2.9,0.763,0.77,0.6,1.2,0.458,1.3,3.8,5.2,0.9,0.3,0.6,1.2,1.8,5.1,Texas A&M,9663997
Denver Nuggets,Vlatko Čančar,PF,25,60,9,14.8,1.8,3.8,0.476,0.7,1.9,0.374,1.1,1.9,0.58,0.57,0.6,0.7,0.927,0.4,1.7,2.1,1.3,0.4,0.2,0.6,1.4,5,No College/Unknown,2234359
Denver Nuggets,Zeke Nnaji,PF,22,53,5,13.7,2.1,3.7,0.561,0.3,1.2,0.262,1.8,2.5,0.71,0.605,0.8,1.2,0.645,1.2,1.4,2.6,0.3,0.3,0.4,0.6,2,5.2,Arizona,2617800
Denver Nuggets,Thomas Bryant,C,25,18,1,11.4,1.8,3.8,0.485,0.2,0.5,0.444,1.6,3.3,0.492,0.515,0.7,1,0.722,1.1,2.3,3.3,0.1,0.1,0.4,0.6,1.4,4.6,Indiana,1836090
Denver Nuggets,Ish Smith,PG,34,43,0,9.3,1.2,3,0.397,0,0.3,0.167,1.2,2.8,0.42,0.405,0,0.1,0.5,0.1,1.1,1.3,2.3,0.2,0.2,1,0.8,2.5,Wake Forest,4725000
Denver Nuggets,Davon Reed,NA,27,35,1,9,0.7,2.3,0.313,0.5,1.3,0.364,0.3,1,0.25,0.413,0.4,0.6,0.75,0.3,1.3,1.6,0.5,0.4,0.1,0.6,1,2.3,No College/Unknown,1902133
Denver Nuggets,Peyton Watson,SG,20,23,2,8.1,1.3,2.6,0.492,0.3,0.6,0.429,1,2,0.511,0.542,0.5,0.9,0.55,0.3,1.3,1.6,0.5,0.1,0.5,0.3,0.6,3.3,UCLA,2193960
