team,name,position,age,games,games_started,minutes_played,field_goals,field_goal_attempts,field_goal_percentage,three_pointers,three_point_attempts,three_point_percentage,two_pointers,two_point_attempts,two_point_percentage,effective_field_goal_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls,points,college,salary
Toronto Raptors,Gary Trent Jr.,SG,24,66,44,32.1,6.1,14.2,0.433,2.5,6.8,0.369,3.6,7.3,0.493,0.522,2.6,3.1,0.839,0.5,2.2,2.6,1.6,1.6,0.2,0.8,1.5,17.4,Duke,17505000
Toronto Raptors,Jakob Poeltl,C,27,26,25,27.2,5.8,8.8,0.652,0,0,NA,5.8,8.8,0.652,0.652,1.6,2.8,0.569,3.2,5.9,9.1,2.2,1.2,1.3,1.1,3,13.1,Utah,9398148
Toronto Raptors,Precious Achiuwa,C,23,55,12,20.7,3.6,7.3,0.485,0.5,2,0.269,3,5.4,0.564,0.521,1.6,2.3,0.702,1.8,4.1,6,0.9,0.6,0.5,1.1,1.9,9.2,Memphis,2840160
Toronto Raptors,Chris Boucher,PF,30,76,0,20,3.4,7,0.493,0.8,2.5,0.328,2.6,4.5,0.585,0.552,1.7,2.2,0.762,2.1,3.5,5.5,0.4,0.6,0.8,0.5,1.9,9.4,Oregon,12690000
Toronto Raptors,Otto Porter Jr.,SF,29,8,2,18.3,1.9,3.8,0.5,0.8,2.1,0.353,1.1,1.6,0.692,0.6,1,1,1,0.8,1.6,2.4,1,1.4,0,0.5,0.9,5.5,Georgetown,6000000
Toronto Raptors,Thaddeus Young,PF,34,54,9,14.7,2,3.7,0.545,0.1,0.6,0.176,1.9,3,0.622,0.561,0.3,0.5,0.692,1.3,1.8,3.1,1.4,1,0.1,0.8,1.6,4.4,Georgia Tech,8000000
Toronto Raptors,Juancho Hernangómez,NA,27,42,10,14.6,1.1,2.7,0.421,0.4,1.6,0.254,0.7,1.1,0.66,0.496,0.2,0.4,0.563,0.6,2.3,2.9,0.6,0.4,0.1,0.4,1,2.9,No College/Unknown,1836090
Toronto Raptors,Christian Koloko,C,22,58,19,13.8,1.2,2.6,0.48,0,0.2,0.083,1.2,2.4,0.514,0.483,0.6,1,0.627,1.4,1.5,2.9,0.5,0.4,1,0.3,2.2,3.1,Arizona,1500000
Toronto Raptors,Will Barton,SG,32,16,2,13.2,1.8,4.9,0.354,0.9,2.6,0.333,0.9,2.3,0.378,0.443,0.1,0.1,1,0.3,1.3,1.6,1.1,0.7,0.2,0.2,1.1,4.5,Memphis,14807642
Toronto Raptors,Malachi Flynn,PG,24,53,2,13,1.6,4.6,0.36,0.9,2.5,0.353,0.8,2.1,0.367,0.457,0.5,0.6,0.758,0.3,1.2,1.4,1.3,0.4,0.1,0.5,1.2,4.6,San Diego State,2145720
Toronto Raptors,Jeff Dowtin,NA,25,25,0,10.4,1,2.3,0.439,0.2,0.6,0.313,0.8,1.6,0.488,0.482,0.2,0.4,0.667,0.2,0.7,0.9,1.2,0.4,0.1,0.2,0.5,2.4,No College/Unknown,NA
Toronto Raptors,Dalano Banton,PG,23,31,2,9,1.8,4.2,0.423,0.5,1.6,0.294,1.3,2.5,0.506,0.481,0.5,0.8,0.708,0.4,1.1,1.5,1.2,0.4,0.4,0.6,1.1,4.6,Nebraska,1563518
Toronto Raptors,Khem Birch,C,30,20,0,8.1,1,1.6,0.594,0.1,0.1,0.5,0.9,1.5,0.6,0.609,0.2,0.3,0.8,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2,UNLV,6667500
Toronto Raptors,Joe Wieskamp,SF,23,9,0,5.6,0.3,1.6,0.214,0.3,1.3,0.25,0,0.2,0,0.321,0,0,NA,0,0.4,0.4,0.3,0,0,0.1,0.3,1,Iowa,2720989
Toronto Raptors,Ron Harper Jr.,NA,22,9,0,5.3,0.9,1.8,0.5,0.3,1,0.333,0.6,0.8,0.714,0.594,0.1,0.1,1,0.3,0.4,0.8,0.4,0,0.1,0,0.3,2.2,No College/Unknown,NA
Utah Jazz,Lauri Markkanen,PF,25,66,66,34.4,8.7,17.3,0.499,3,7.7,0.391,5.6,9.6,0.585,0.586,5.3,6,0.875,2,6.7,8.6,1.9,0.6,0.6,1.9,2.1,25.6,Arizona,16475454
Utah Jazz,Jordan Clarkson,SG,30,61,61,32.6,7.5,16.9,0.444,2.5,7.5,0.338,5,9.4,0.53,0.519,3.3,4,0.816,1.2,2.9,4,4.4,0.5,0.2,3,2,20.8,Missouri,13340000
Utah Jazz,Mike Conley,PG,35,43,42,29.7,3.6,8.7,0.408,1.8,5,0.362,1.8,3.8,0.469,0.511,1.8,2.2,0.813,0.4,2.1,2.5,7.7,1,0.2,1.7,2.2,10.7,Ohio State,22680000
Utah Jazz,Kelly Olynyk,C,31,68,68,28.6,4.1,8.2,0.499,1.4,3.5,0.394,2.7,4.7,0.576,0.583,2.9,3.4,0.853,1.2,5,6.2,3.7,0.9,0.5,2.5,3.4,12.5,Gonzaga,12804878
Utah Jazz,Malik Beasley,SG,26,55,13,26.8,4.8,12.2,0.396,3.1,8.6,0.359,1.7,3.6,0.485,0.522,0.7,0.8,0.841,0.5,3.1,3.6,1.7,0.8,0.1,1.1,1.4,13.4,Florida State,15558035
Utah Jazz,Kris Dunn,PG,28,22,3,25.8,5.3,9.8,0.537,0.8,1.6,0.472,4.5,8.2,0.55,0.576,1.9,2.4,0.774,0.4,4.1,4.5,5.6,1.1,0.5,1.6,2.6,13.2,Providence,735819
Utah Jazz,Jarred Vanderbilt,PF,23,52,41,24.1,3.3,6,0.556,0.4,1.1,0.333,3,4.9,0.606,0.587,1.3,2,0.657,2.3,5.5,7.9,2.7,1,0.3,1.3,2.6,8.3,Kentucky,4374000
Utah Jazz,Collin Sexton,PG,24,48,15,23.9,4.9,9.8,0.506,1,2.5,0.393,3.9,7.2,0.546,0.558,3.4,4.1,0.819,0.8,1.4,2.2,2.9,0.6,0.1,1.8,2.3,14.3,Alabama,16500000
Utah Jazz,Walker Kessler,C,21,74,40,23,4,5.6,0.72,0,0,0.333,4,5.6,0.723,0.721,1.1,2.1,0.516,3.1,5.3,8.4,0.9,0.4,2.3,0.8,2.3,9.2,Auburn,2696400
Utah Jazz,Ochai Agbaji,SG,22,59,22,20.5,2.8,6.5,0.427,1.4,3.9,0.355,1.4,2.7,0.532,0.532,0.9,1.2,0.812,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,7.9,Kansas,3918360
Utah Jazz,Talen Horton-Tucker,SG,22,65,20,20.2,4,9.4,0.419,0.9,3.1,0.286,3.1,6.3,0.485,0.467,1.9,2.6,0.75,0.6,2.6,3.2,3.8,0.6,0.4,1.9,1.7,10.7,Iowa State,10260000
Utah Jazz,Damian Jones,C,27,19,0,15.8,1.8,2.6,0.714,0.5,0.7,0.714,1.3,1.8,0.714,0.816,0.4,0.5,0.778,1.3,2.3,3.5,0.6,0.3,0.5,0.7,2,4.6,Vanderbilt,2298385
Utah Jazz,Juan Toscano-Anderson,SF,29,22,2,15.2,1.4,3.5,0.403,0.2,1,0.174,1.2,2.5,0.5,0.429,0.4,0.4,0.889,0.6,2.2,2.9,1.8,0.3,0.1,0.8,1.5,3.4,Marquette,1836090
