Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team
9,Chris Duarte,25,46,12,19.5,2.7,7.2,0.369,1.2,3.8,0.316,1.5,3.5,0.428,0.452,1.3,1.6,0.847,0.4,2.1,2.5,1.4,0.5,0.2,0.9,1.4,7.9,IND
10,Jalen Smith,22,68,31,18.8,3.6,7.5,0.476,0.8,2.8,0.283,2.8,4.7,0.593,0.53,1.5,2,0.759,1.9,3.9,5.8,1,0.3,0.9,1.1,2.3,9.4,IND
11,Gabe York,29,3,0,18.7,2.7,7,0.381,2,6,0.333,0.7,1,0.667,0.524,0.7,0.7,1,0,2,2,1.7,0.7,0,0,1.7,8,IND
12,Oshae Brissett,24,65,2,16.7,1.9,4.9,0.386,0.7,2.4,0.31,1.2,2.5,0.457,0.461,1.6,2.2,0.717,1,2.4,3.4,0.7,0.5,0.2,0.5,1.2,6.1,IND
13,Isaiah Jackson,21,63,12,16.5,2.8,5,0.563,0,0.2,0.143,2.8,4.8,0.582,0.566,1.5,2.3,0.651,1.8,2.7,4.5,0.8,0.5,1.5,0.8,2.4,7.2,IND
14,Daniel Theis,30,7,1,15.6,3,6.3,0.477,0.3,1.6,0.182,2.7,4.7,0.576,0.5,0.7,1.7,0.417,1,2.1,3.1,1.3,0.3,0.9,0.4,1,7,IND
15,George Hill,36,11,1,15.1,1.7,3.1,0.559,1,1.9,0.524,0.7,1.2,0.615,0.721,0.7,0.8,0.889,0.2,1.5,1.6,1.9,0.6,0.3,0.6,1.3,5.2,IND
16,Trevelin Queen,25,7,0,10,1,4.1,0.241,0.3,2.1,0.133,0.7,2,0.357,0.276,0.7,0.7,1,1.1,1.3,2.4,0.9,0.3,0.7,1,0.6,3,IND
17,Goga Bitadze,23,21,0,9.6,1.3,2.5,0.519,0.2,0.7,0.286,1.1,1.8,0.605,0.558,0.5,1.1,0.458,1.2,1.1,2.3,0.9,0.4,0.5,0.6,1.6,3.3,IND
18,James Johnson,35,18,1,9,1.2,2.7,0.449,0.2,0.8,0.2,1.1,1.9,0.559,0.48,0.2,0.4,0.5,0.2,1.4,1.7,0.8,0.4,0.3,0.4,1.8,2.8,IND
19,Terry Taylor,23,26,2,8.8,1.2,2.5,0.462,0.2,0.7,0.222,1,1.8,0.553,0.492,0.2,0.3,0.714,0.8,0.7,1.5,0.4,0.1,0.2,0.3,0.9,2.7,IND
20,Kendall Brown,19,6,0,6.7,0.7,1.2,0.571,0,0.2,0,0.7,1,0.667,0.571,0.2,0.3,0.5,0.3,0.7,1,0.5,0.7,0,0.3,1.5,1.5,IND
1,Paul George,32,56,56,34.6,8.2,17.9,0.457,2.8,7.6,0.371,5.4,10.3,0.521,0.536,4.6,5.3,0.871,0.8,5.3,6.1,5.1,1.5,0.4,3.1,2.8,23.8,LAC
2,Kawhi Leonard,31,52,50,33.6,8.6,16.8,0.512,2,4.8,0.416,6.6,11.9,0.551,0.572,4.7,5.4,0.871,1.1,5.4,6.5,3.9,1.4,0.5,1.7,1.6,23.8,LAC
3,Russell Westbrook,34,21,21,30.2,6.1,12.5,0.489,1.2,3.5,0.356,4.9,9,0.54,0.538,2.4,3.6,0.658,1.4,3.4,4.9,7.6,1.1,0.5,3.4,2,15.8,LAC
4,Ivica Zubac,25,76,76,28.6,4.3,6.8,0.634,0,0,0,4.3,6.7,0.637,0.634,2.2,3.1,0.697,3.1,6.8,9.9,1,0.4,1.3,1.5,2.9,10.8,LAC
5,Marcus Morris,33,65,65,28.1,4.2,9.9,0.426,1.7,4.7,0.364,2.5,5.2,0.484,0.513,1,1.3,0.782,0.4,3.5,4,1.8,0.6,0.3,0.9,2.1,11.2,LAC
6,Norman Powell,29,60,8,26.1,5.7,11.8,0.479,1.9,4.8,0.397,3.8,7.1,0.534,0.559,3.8,4.6,0.812,0.4,2.5,2.9,1.8,0.8,0.3,1.7,2.1,17,LAC
7,Reggie Jackson,32,52,38,25.7,4.1,9.8,0.418,1.5,4.2,0.35,2.6,5.6,0.469,0.493,1.2,1.3,0.924,0.4,1.8,2.2,3.5,0.7,0.1,1.8,1.8,10.9,LAC
8,Eric Gordon,34,22,11,24.9,3.7,8,0.463,2.1,5,0.423,1.5,2.9,0.531,0.597,1.5,1.7,0.842,0.2,1.5,1.7,2.1,0.6,0.4,1,1.5,11,LAC
9,Terance Mann,26,81,36,23.1,3.4,6.5,0.519,1,2.4,0.389,2.4,4,0.598,0.593,1.1,1.5,0.78,1,2.5,3.4,2.3,0.5,0.3,1,1.8,8.8,LAC
10,John Wall,32,34,3,22.2,4.1,9.9,0.408,1,3.2,0.303,3.1,6.7,0.459,0.457,2.3,3.3,0.681,0.4,2.3,2.7,5.2,0.8,0.4,2.4,1.7,11.4,LAC
11,Nicolas Batum,34,78,19,21.9,2.1,4.9,0.42,1.6,4.1,0.391,0.5,0.8,0.563,0.583,0.4,0.6,0.708,0.8,3,3.8,1.6,0.7,0.6,0.6,1.9,6.1,LAC
12,Luke Kennard,26,35,11,20.7,2.8,6,0.464,1.7,3.8,0.447,1.1,2.3,0.494,0.604,0.5,0.6,0.95,0.2,2.2,2.4,1.1,0.5,0.1,0.9,1.3,7.8,LAC
13,Mason Plumlee,32,23,4,19.9,2.8,3.8,0.727,0,0,NA,2.8,3.8,0.727,0.727,1.9,2.5,0.772,1.8,5.1,6.9,1.7,0.5,0.5,1.3,2.4,7.5,LAC
14,Bones Hyland,22,14,0,18.9,3.9,9.8,0.401,1.9,5.3,0.351,2.1,4.5,0.46,0.496,1.1,1.4,0.75,0.7,2.8,3.5,3.4,0.8,0.1,1.1,2.1,10.8,LAC
15,Robert Covington,32,48,0,16.2,2.1,4.8,0.445,1.1,2.8,0.397,1,1.9,0.516,0.563,0.6,0.8,0.75,0.6,2.8,3.5,1.2,0.8,0.7,0.7,1.8,6,LAC
16,Amir Coffey,25,50,9,12.5,1.1,2.9,0.386,0.2,0.8,0.275,0.9,2.1,0.429,0.424,1,1.3,0.778,0.3,0.7,1.1,1.1,0.1,0.1,0.4,1,3.4,LAC
17,Brandon Boston Jr.,21,22,1,11.3,2.3,5.5,0.418,0.5,1.3,0.414,1.8,4.2,0.419,0.467,1.3,1.7,0.763,0.3,1,1.4,0.9,0.4,0,0.5,1,6.5,LAC
18,Moussa Diabaté,21,22,1,8.9,1.1,2.1,0.511,0,0.1,0.5,1,2,0.511,0.521,0.5,0.7,0.625,1.4,0.9,2.3,0.2,0.3,0.4,0.4,0.7,2.7,LAC
19,Jason Preston,23,14,0,8.9,1.3,2.9,0.439,0.4,1.3,0.278,0.9,1.6,0.565,0.5,0,0.1,0,0.1,1.4,1.6,1.9,0.1,0,0.7,0.5,2.9,LAC
20,Moses Brown,23,34,1,8.5,1.8,2.8,0.635,0,0,NA,1.8,2.8,0.635,0.635,1,2.1,0.458,1.7,2.4,4.1,0.1,0.1,0.4,0.4,1.1,4.6,LAC
